o         e       aff
5	6.17	0.2415
13	8.44	0.2309
18	7.23	0.3999
5	5.62	0.2977
10	4.18	0.3264
18	29.35	0.3346
29	11.79	0.4150
10	12.35	0.4202
15	7.28	0.1023
22	9.40	0.1752
4	3.77	0.2548
11	3.41	0.3248
10	8.70	0.2287
22	9.57	0.2520
13	8.18	0.2058
14	4.35	0.2785
17	4.91	0.2528
21	10.66	0.1847
25	16.99	0.3736
6	2.94	0.2411
11	3.07	0.3700
21	5.50	0.2997
13	6.47	0.2883
5	4.85	0.2427
19	9.85	0.3782
18	6.95	0.1865
14	5.74	0.2633
17	5.70	0.2978
3	2.22	0.3541
10	3.46	0.4176
7	4.40	0.2910
3	4.05	0.3431
12	5.74	0.1168
11	6.36	0.2195
6	5.13	0.2911
16	16.99	0.4297
13	6.19	0.2119
6	5.56	0.2698
9	11.69	0.0874
10	4.69	0.3204
4	6.25	0.1839
9	10.84	0.1796
11	8.40	0.2471
12	13.19	0.2016
23	9.25	0.1560
18	16.98	0.3162
12	8.39	0.0732
7	2.86	0.1490
13	9.70	0.2283
12	12.12	0.1187
12	12.94	0.3500
13	9.77	0.2915
6	10.34	0.1339
14	5.09	0.0995
7	3.29	0.2355
18	17.19	0.2392
13	5.42	0.0877
9	11.39	0.3571
6	8.33	0.1014
8	4.97	0.0363
7	7.14	0.1665
6	6.74	0.1226
16	17.01	0.2186
4	5.80	0.1279
6	4.84	0.0842
12	12.00	0.0733
5	4.50	0.0377
5	4.39	0.2216
17	16.35	0.3062
5	6.02	0.0310
7	6.42	0.0755
2	5.26	0.0583
9	4.59	0.2546
7	11.86	0.2933
6	4.05	0.1682
12	5.48	0.2518
13	13.13	0.1971
17	8.72	0.1473
5	2.87	0.2311
5	2.13	0.2471
6	4.48	0.3063
12	5.85	0.1526
10	6.67	0.1487
16	6.11	0.3537
10	5.78	0.2753
16	12.31	0.0849
15	10.56	0.1013
18	10.23	0.1622
6	2.52	0.1267
12	6.22	0.2376
6	14.29	0.0737
8	5.71	0.2755
33	37.93	0.0152
15	7.81	0.1415
14	9.86	0.1344
18	11.61	0.1058
25	18.52	0.0545
14	12.28	0.1047
2	5.41	0.1335
73	61.96	0.3134
13	8.55	0.1326
14	12.07	0.1222
6	4.29	0.1992
20	19.42	0.0620
8	8.25	0.1313
12	12.90	0.0848
10	4.76	0.2687
3	5.56	0.1396
11	11.11	0.1234
3	4.76	0.0997
11	10.48	0.0694
13	13.13	0.1022
11	12.94	0.0779
13	14.61	0.0253
10	9.26	0.1012
5	6.94	0.0999
18	16.82	0.0828
10	33.49	0.2950
23	20.91	0.0778
5	5.32	0.1388
9	6.77	0.2449
2	8.70	0.0978
11	12.94	0.1144
9	16.07	0.1038
11	8.87	0.1613
6	7.79	0.1921
11	14.60	0.2714
5	5.10	0.1467
19	24.42	0.1783
15	17.78	0.1790
4	4.04	0.1482
8	7.84	0.1383
9	9.89	0.0805
6	8.45	0.0619
4	5.06	0.1934
4	4.49	0.1315
2	6.25	0.1050
12	9.16	0.0702
12	12.37	0.1002
11	8.40	0.1445
9	9.57	0.0353
7	5.83	0.0400
7	9.21	0.1385
8	9.64	0.0491
12	9.09	0.0520
11	12.94	0.0640
23	17.42	0.1017
7	10.29	0.0837
16	7.14	0.1462
46	92.50	0.0958
9	14.29	0.0745
18	15.61	0.2942
12	6.00	0.2278
13	8.55	0.1347
14	15.22	0.0907
14	18.42	0.1238
3	5.77	0.1773
9	18.37	0.0623
15	13.16	0.0742
6	7.69	0.1003
13	14.61	0.0590
13	15.85	0.0719
12	12.77	0.0652
8	7.41	0.1687
11	14.86	0.1199
5	6.94	0.1768
9	5.66	0.1638
8	9.88	0.1360
22	102.16	0.0832
9	7.63	0.2174
2	5.13	0.1662
10	7.58	0.2023
6	8.00	0.1319
10	12.82	0.0526
12	18.75	0.0287
9	12.33	0.0405
11	5.88	0.1616
32	64.64	0.0730
5	8.62	0.1005
11	12.09	0.0743
9	11.11	0.0577
11	14.10	0.0481
11	10.48	0.1002
0	7.00	0.0433
9	10.23	0.0838
3	6.82	0.1124
11	15.71	0.2265
11	9.65	0.0436
11	8.59	0.1402
5	8.33	0.0313
4	6.06	0.0359
8	12.31	0.0696
9	8.91	0.0618
30	50.10	0.0932
110	288.00	0.0097
